Sample_code,Method,Spike,Water_type,Volume,Replicate,N1_Rec%,Flu-A_Rec%,Flu-B_Rec%,Phi6_Rec%,NoVGII_Rec%,MeV_Rec%,RoV_Rec%,MNV Rec%,CrAss_Rec%,AdV_Rec%,PMMoV_Rec%
PEG_20_U_WW,PEG,U,WW,15,3,6.773200876,,,,,,,,2.373193107,2.085079022,7.912572046
PEG_200_U_WW,PEG,U,WW,150,1,2.107714466,,,0.079266778,12.32959905,,,,0.94928726,0.431867443,2.912621581
PEG_200_U_WW,PEG,U,WW,150,2,1.756819033,,,,9.712344302,,,,0.760289071,0.485032012,3.000552998
PEG_200_U_WW,PEG,U,WW,150,3,1.792071505,,,,7.32864624,,,,0.679270577,0.412460095,3.2011289
PEG_50_U_WW,PEG,U,WW,37.5,1,3.035228711,,,,9.497822236,,,,1.496475144,1.068040418,3.774149933
PEG_50_U_WW,PEG,U,WW,37.5,2,,,,,,,,,,0.752042421,
PEG_50_U_WW,PEG,U,WW,37.5,3,1.787136369,,,,2.348299624,,,,2.410563929,0,0.582722586
Pellet_PEG_50_U_WW,Pellet,U,WW,50,1,2.276421533,,,,7.123366677,,,,1.122356358,0.227973113,2.83061245
Pellet_PEG_50_U_WW,Pellet,U,WW,50,2,2.644280071,,,,9.774452459,,,,0.86731502,0,6.576587693
Pellet_PEG_50_U_WW,Pellet,U,WW,50,3,,,,,,,,,,0.959557078,0.43704194
SEPA_20_U_WW,Amicon,U,WW,15,1,5.516154672,,,,,,,,1.648167839,0.885253842,16.863614
SEPA_20_U_WW,Amicon,U,WW,15,2,1.756064061,,,,,,,,1.524928844,0.958338629,14.77646749
SEPA_20_U_WW,Amicon,U,WW,15,3,3.865825927,,,,,,,,1.734789029,1.149159386,18.20079055
SEPA_50_U_WW,Amicon,U,WW,20,1,4.828596531,,,,,,,,1.772265006,0.899818745,21.50436409
SEPA_50_U_WW,Amicon,U,WW,20,2,9.579445312,,,,,,,,1.937796391,1.082963618,22.42293955
SEPA_50_U_WW,Amicon,U,WW,20,3,7.73662625,,,,,,,,1.589259222,1.398332993,13.79756894
